filename,xmlid,au-name,title,au-birth,au-death,au-ids,digitalSource,firsted-yr,ref-year,title-ids,language,numwords,subgenre,narr-per,au-gender,sizeCat,reprintCount,time-slot
FRA03201_Blandy,FRA03201,"Blandy, Stella",Rouzétou,1836,1925,viaf:39410255 wikidata:Q3498121,Rouzétou,1887,1887,viaf:missing wikidata:missing,fr,84121,NA,heterodiegetic,F,medium,low,T3
FRA03302_Rattazzi,FRA03302,"Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse]",Le piège aux maris,1831,1902,viaf:30341384 wikidata:Q3292106,NA,1865,1865,viaf:missing wikidata:missing,fra,53880,NA,heterodiegetic,F,medium,low,T2
FRA03401_Reybaud,FRA03401,"Reybaud, Fanny [Hippolyte Arnaud]",Mademoiselle de Malepeire,1802,1871,viaf:36959845 wikidata:missing,Mademoiselle de Malepeire,1855,1856,viaf:8593149296215580670003 wikidata:missing,fr,38804,NA,homodiegetic,F,short,high,T1
FRA03601_Proust,FRA03601,"Proust, Marcel",Du côté de chez Swann,1871,1922,viaf:32001793 wikidata:Q7199,NA,1913,1946-1947,viaf:316309707 wikidata:Q28790495,fr,181469,NA,autodiegetic,M,long,high,T4
FRA03701_Sand,FRA03701,"Sand, George [Amantine Lucile Aurore Dupin]",Nanon,1804,1876,viaf:46766944 wikidata:Q3816,NA,1872,2005,viaf:204615801 wikidata:missing,fr,101919,NA,autodiegetic,F,long,high,T2
FRA03702_Sand,FRA03702,"Sand, George [Amantine Lucile Aurore Dupin]",Le dernier amour,1804,1876,viaf:46766944 wikidata:Q3816,NA,1867,1882,viaf:1327145424598486831029 wikidata:Q19194266,fr,88169,NA,autodiegetic,F,medium,high,T2
FRA03704_Sand,FRA03704,"Sand, George [Amantine Lucile Aurore Dupin]",Horace,1804,1876,viaf:46766944 wikidata:Q3816,NA,1840,1854,viaf:309259313 wikidata:Q40125295,fr,133214,NA,homodiegetic,F,long,high,T1
FRA03802_Stern,FRA03802,"Stern, Daniel [Marie d'Agoult]",Nélida,1805,1876,viaf:186930001 wikidata:Q253453,Nelida,1846,1866,viaf:312334146 wikidata:Q7071424,fr,70592,NA,heterodiegetic,F,medium,low,T1
FRA03903_Stolz,FRA03903,"Stolz, Madame de [Fanny de Bégon]",Le Secret de Laurent,1820,1898,viaf:19850120 wikidata:Q3275360,NA,1878,NA,viaf:unavailable wikidata:missing,fr,49150,NA,heterodiegetic,F,short,low,T2
FRA04001_Verne,FRA04001,"Verne, Jules",Un capitaine de quinze ans,1828,1905,viaf:76323989 wikidata:Q33977,NA,1878,NA,viaf:183081330 wikidata:Q59784918,fr,125179,adventure,heterodiegetic,M,long,high,T2
